Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMM0001,CAE18460.1,dnaN,"DNA polymerase III, beta chain",Syncc8109_0001,AHF62427.1,dnaN,"DNA polymerase III, beta subunit",5.02794E-142,,,,,,,,,,
PMM0002,CAE18461.1,None,conserved hypothetical protein,Syncc8109_0003,AHF62429.1,None,hypothetical protein,9.55840E-63,,,,,,,,,,
PMM0003,CAE18462.1,purL,phosphoribosylformylglycinamidine synthetase II,Syncc8109_0004,AHF62430.1,purL,phosphoribosylformylglycinamidine synthase II,0.00000E+00,,,,,,,,,,
PMM0004,CAE18463.1,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,Syncc8109_0005,AHF62431.1,purF,amidophosphoribosyltransferase,0.00000E+00,Syncc8109_0151,AHF62571.1,glmS,"glucosamine--fructose-6-phosphate aminotransferase, isomerizing",1.38990E-17,,,,,
PMM0005,CAE18464.1,None,"DNA gyrase/topoisomerase IV, subunit A",Syncc8109_0006,AHF62432.1,None,"DNA gyrase/topoisomerase IV, subunit A",0.00000E+00,Syncc8109_2037,AHF64378.1,gyrA,"DNA gyrase, A subunit",0.00000E+00,,,,,
PMM0006,CAE18465.1,None,conserved hypothetical protein,Syncc8109_0007,AHF62433.1,None,hypothetical protein,3.75383E-58,Syncc8109_2059,AHF64400.1,None,hypothetical protein,1.07739E-06,,,,,
PMM0007,CAE18466.1,None,conserved hypothetical protein,Syncc8109_0008,AHF62434.1,None,4Fe-4S cluster binding protein,5.64107E-127,,,,,,,,,,
PMM0008,CAE18467.1,None,conserved hypothetical protein,Syncc8109_0010,AHF62436.1,None,hypothetical protein,1.08590E-137,,,,,,,,,,
PMM0009,CAE18468.1,nusB,Antitermination protein NusB,Syncc8109_0011,AHF62437.1,None,NusB family protein,1.94414E-57,,,,,,,,,,
PMM0010,CAE18469.1,ftsY,signal recognition particle docking protein FtsY,Syncc8109_0012,AHF62438.1,ftsY,signal recognition particle-docking protein FtsY,2.27800E-174,Syncc8109_1847,AHF64199.1,ffh,signal recognition particle protein,1.91335E-34,,,,,
PMM0011,CAE18470.1,None,Protein phosphatase 2C domain,Syncc8109_0013,AHF62439.1,None,serine phosphatase,2.28377E-147,,,,,,,,,,
PMM0012,CAE18471.1,argH,Fumarate lyase:Delta crystallin,Syncc8109_0014,AHF62440.1,argH,argininosuccinate lyase,0.00000E+00,Syncc8109_2289,AHF64615.1,purB,adenylosuccinate lyase,9.65347E-14,,,,,
PMM0013,CAE18472.1,None,RNA-binding region RNP-1 (RNA recognition motif),Syncc8109_0015,AHF62441.1,None,RNA-binding region RNP-1 (RNA recognition motif),3.50642E-45,Syncc8109_1142,AHF63513.1,None,RNA-binding protein,1.03017E-32,Syncc8109_0982,AHF63356.1,rbpD,RNA-binding region RNP-1 (RNA recognition motif),4.36788E-31
PMM0014,CAE18473.1,None,conserved hypothetical protein,Syncc8109_0016,AHF62442.1,None,uncharacterized protein family UPF0034,6.09864E-136,Syncc8109_2124,AHF64461.1,None,Dihydrouridine synthase TIM-barrel protein nifR3,7.05000E-16,,,,,
PMM0015,CAE18474.1,None,Domain of unknown function DUF25,Syncc8109_0017,AHF62443.1,None,Methionine sulfoxide reductase B,1.50701E-76,Syncc8109_2343,AHF64664.1,None,Methionine sulfoxide reductase B,5.78644E-43,,,,,
PMM0016,CAE18475.1,grpE,Heat shock protein GrpE,Syncc8109_0022,AHF62448.1,grpE,putative heat shock protein GrpE,2.59219E-86,,,,,,,,,,
PMM0017,CAE18476.1,dnaJ,DnaJ protein,Syncc8109_0023,AHF62449.1,dnaJ,Heat shock protein DnaJ,3.87482E-180,Syncc8109_0558,AHF62945.1,dnaJ3,Heat shock protein DnaJ-like protein,1.66723E-23,Syncc8109_0558,AHF62945.1,dnaJ3,Heat shock protein DnaJ-like protein,1.11657E-22
PMM0018,CAE18477.1,None,conserved hypothetical protein,Syncc8109_0024,AHF62450.1,None,hypothetical protein,2.34337E-17,,,,,,,,,,
PMM0019,CAE18478.1,None,conserved hypothetical protein,Syncc8109_0025,AHF62451.1,None,GTPase EngC,3.71405E-64,,,,,,,,,,
PMM0020,CAE18479.1,None,conserved hypothetical protein,Syncc8109_0026,AHF62452.1,None,hypothetical protein,9.96241E-50,,,,,,,,,,
PMM0021,CAE18480.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,Syncc8109_0027,AHF62453.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,6.72546E-94,,,,,,,,,,
PMM0022,CAE18481.1,murC,Probable UDP-N-acetylmuramate-alanine ligase,Syncc8109_0028,AHF62454.1,murC,UDP-N-acetylmuramate--alanine ligase,8.47741E-125,,,,,,,,,,
PMM0023,CAE18482.1,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),Syncc8109_0030,AHF62456.1,gap2,"glyceraldehyde-3-phosphate dehydrogenase, type I",0.00000E+00,Syncc8109_0834,AHF63212.1,gap3,"glyceraldehyde-3-phosphate dehydrogenase, type I",3.01781E-95,,,,,
PMM0024,CAE18483.1,thiL,putative thiamine-monophosphate kinase,Syncc8109_0031,AHF62457.1,thiL,thiamine-monophosphate kinase,5.00374E-90,,,,,,,,,,
PMM0025,CAE18484.1,None,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,Syncc8109_0032,AHF62458.1,None,putative cyclophilin-type peptidyl-prolyl cis-trans isomerase,1.89616E-141,Syncc8109_2093,AHF64431.1,None,"putative peptidyl-prolyl cis-trans isomerase, cyclophilin type",5.03764E-16,,,,,
PMM0026,CAE18485.1,efp,Elongation factor P (EF-P),Syncc8109_0033,AHF62459.1,efp,translation elongation factor P,7.65269E-113,,,,,,,,,,
PMM0027,CAE18486.1,"accB,fabE",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,Syncc8109_0034,AHF62460.1,accB,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",2.37576E-58,,,,,,,,,,
PMM0028,CAE18487.1,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,Syncc8109_0035,AHF62461.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,5.96995E-114,,,,,,,,,,
PMM0029,CAE18488.1,None,conserved hypothetical protein,Syncc8109_0037,AHF62463.1,None,hypothetical protein,2.05292E-98,Syncc8109_2715,AHF65021.1,None,hypothetical protein,1.78158E-10,,,,,
PMM0031,CAE18490.1,None,HNH endonuclease:HNH nuclease,Syncc8109_0039,AHF62465.1,mcrA,HNH nuclease,3.94711E-28,Syncc8109_0350,AHF62757.1,None,HNH nuclease,2.05008E-09,,,,,
PMM0032,CAE18491.1,None,possible Bacterial type II secretion system pr,Syncc8109_0043,AHF62469.1,None,hypothetical protein,1.69744E-21,,,,,,,,,,
PMM0033,CAE18492.1,None,conserved hypothetical protein,Syncc8109_0044,AHF62470.1,None,hypothetical protein,2.68152E-66,,,,,,,,,,
PMM0034,CAE18493.1,None,conserved hypothetical protein,Syncc8109_0047,AHF62473.1,None,hypothetical protein,1.76251E-19,,,,,,,,,,
PMM0035,CAE18494.1,DHSS,soluble hydrogenase small subunit,Syncc8109_0050,AHF62475.1,DHSS,soluble hydrogenase small subunit,0.00000E+00,Syncc8109_1473,AHF63835.1,spt,serine:pyruvate/alanine:glyoxylate aminotransferase,1.52296E-56,,,,,
PMM0036,CAE18495.1,None,CbiD protein,Syncc8109_0051,AHF62476.1,cbiD,cobalamin biosynthesis protein CbiD,4.96701E-91,,,,,,,,,,
PMM0037,CAE18496.1,guaA,Glutamine amidotransferase class-I:GMP synthase,Syncc8109_0052,AHF62477.1,guaA,GMP synthase,0.00000E+00,Syncc8109_1532,AHF63893.1,carA,"carbamoyl-phosphate synthase, small subunit",1.43990E-11,Syncc8109_2556,AHF64863.1,pabA,glutamine amidotransferase of anthranilate synthase or para-aminobenzoate synthase,1.83031E-08
PMM0039,CAE18498.1,None,conserved hypothetical protein,Syncc8109_0053,AHF62478.1,None,hypothetical protein,3.01003E-83,,,,,,,,,,
PMM0040,CAE18499.1,None,Putative penicillin-binding protein,Syncc8109_0055,AHF62480.1,None,Peptidoglycan glycosyltransferase,0.00000E+00,Syncc8109_0774,AHF63154.1,ftsI,Peptidoglycan glycosyltransferase,1.65481E-18,Syncc8109_1905,AHF64250.1,None,Penicillin-binding protein 1A,9.95987E-13
PMM0041,CAE18500.1,None,possible reductase,Syncc8109_2611,AHF64918.1,None,putative reductase,3.38224E-67,,,,,,,,,,
PMM0042,CAE18501.1,None,flavoprotein,Syncc8109_2608,AHF64915.1,fpaA,putative flavoprotein,0.00000E+00,Syncc8109_2607,AHF64914.1,fpaA,flavoprotein,2.09828E-96,Syncc8109_1294,AHF63661.1,None,hypothetical protein,1.07376E-07
PMM0043,CAE18502.1,None,flavoprotein,Syncc8109_2607,AHF64914.1,fpaA,flavoprotein,0.00000E+00,Syncc8109_2608,AHF64915.1,fpaA,putative flavoprotein,3.03661E-93,Syncc8109_1294,AHF63661.1,None,hypothetical protein,4.19761E-09
PMM0044,CAE18503.1,alaS,Alanyl-tRNA synthetase,Syncc8109_2599,AHF64906.1,alaS,alanyl-tRNA synthetase,0.00000E+00,,,,,,,,,,
PMM0045,CAE18504.1,None,Orn/DAP/Arg decarboxylases family 2,Syncc8109_2598,AHF64905.1,None,arginine decarboxylase,0.00000E+00,Syncc8109_0998,AHF63372.1,lysA,diaminopimelate decarboxylase,3.13163E-09,,,,,
