Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMM0001,CAE18460.1,dnaN,"DNA polymerase III, beta chain",SynWH8103_00001,CRY90759.1,dnaN,"DNA polymerase III, beta subunit",5.75914E-159,,,,,,,,,,
PMM0002,CAE18461.1,None,conserved hypothetical protein,SynWH8103_00002,CRY90760.1,None,conserved hypothetical protein,3.01545E-71,,,,,,,,,,
PMM0003,CAE18462.1,purL,phosphoribosylformylglycinamidine synthetase II,SynWH8103_00003,CRY90761.1,purL,"phosphoribosylformylglycinamidine synthase, synthetase domain",0.00000E+00,,,,,,,,,,
PMM0004,CAE18463.1,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,SynWH8103_00005,CRY90762.1,purF,amidophosphoribosyltransferase,1.46522E-85,,,,,,,,,,
PMM0005,CAE18464.1,None,"DNA gyrase/topoisomerase IV, subunit A",SynWH8103_00004,CRY90763.1,None,"DNA gyrase/topoisomerase IV, subunit A family protein",0.00000E+00,SynWH8103_00828,CRY91568.1,gyrA,DNA gyrase subunit A,0.00000E+00,,,,,
PMM0006,CAE18465.1,None,conserved hypothetical protein,SynWH8103_00006,CRY90764.1,None,tetratricopeptide repeat family protein,1.88232E-59,SynWH8103_02164,CRY92878.1,None,tetratricopeptide repeat family protein,5.70022E-12,,,,,
PMM0007,CAE18466.1,None,conserved hypothetical protein,SynWH8103_00007,CRY90765.1,queG,epoxyqueuosine reductase,1.10158E-127,,,,,,,,,,
PMM0008,CAE18467.1,None,conserved hypothetical protein,SynWH8103_00009,CRY90767.1,None,uncharacterized membrane protein (DUF502),1.61871E-137,,,,,,,,,,
PMM0009,CAE18468.1,nusB,Antitermination protein NusB,SynWH8103_00010,CRY90768.1,nusB,transcription antitermination protein NusB,6.07028E-63,,,,,,,,,,
PMM0010,CAE18469.1,ftsY,signal recognition particle docking protein FtsY,SynWH8103_00011,CRY90769.1,ftsY,signal recognition particle-docking protein FtsY,5.75230E-172,SynWH8103_01845,CRY92570.1,ffh,signal recognition particle protein,1.24492E-34,,,,,
PMM0011,CAE18470.1,None,Protein phosphatase 2C domain,SynWH8103_00012,CRY90770.1,rsbU,"serine phosphatase RsbU, sigma subunit regulator",1.93193E-145,,,,,,,,,,
PMM0012,CAE18471.1,argH,Fumarate lyase:Delta crystallin,SynWH8103_00013,CRY90771.1,argH,argininosuccinate lyase,0.00000E+00,,,,,,,,,,
PMM0013,CAE18472.1,None,RNA-binding region RNP-1 (RNA recognition motif),SynWH8103_00014,CRY90772.1,None,RNA-binding domain RNP-1 (RNA recognition motif)containing protein,6.45207E-46,SynWH8103_01526,CRY92253.1,None,"RNA-binding protein, RRM domain",6.23497E-32,SynWH8103_01055,CRY91789.1,None,"RNA-binding protein, RRM domain",3.80963E-31
PMM0014,CAE18473.1,None,conserved hypothetical protein,SynWH8103_00015,CRY90773.1,None,dihydrouridine synthase family protein,3.84190E-128,SynWH8103_00753,CRY91492.1,None,"TIM-barrel, nifR3 family protein",2.02957E-23,,,,,
PMM0015,CAE18474.1,None,Domain of unknown function DUF25,SynWH8103_00016,CRY90774.1,msrB,methionine-R-sulfoxide reductase,6.90154E-78,SynWH8103_00372,CRY91117.1,msrB,peptide methionine sulfoxide reductase MsrB,1.91636E-41,,,,,
PMM0016,CAE18475.1,grpE,Heat shock protein GrpE,SynWH8103_00021,CRY90779.1,grpE,Chaperone protein GrpE,3.50288E-84,,,,,,,,,,
PMM0017,CAE18476.1,dnaJ,DnaJ protein,SynWH8103_00022,CRY90780.1,dnaJ,Chaperone protein dnaJ,4.94199E-178,SynWH8103_02208,CRY92919.1,dnaJ,Chaperone DnaJ protein,1.81237E-22,SynWH8103_02208,CRY92919.1,dnaJ,Chaperone DnaJ protein,1.21372E-19
PMM0019,CAE18478.1,None,conserved hypothetical protein,SynWH8103_00025,CRY90782.1,rsgA,ribosome small subunit-dependent GTPase A,1.10934E-68,,,,,,,,,,
PMM0020,CAE18479.1,None,conserved hypothetical protein,SynWH8103_00024,CRY90783.1,None,"DNA-binding protein, YbaB/EbfC family",3.38857E-52,,,,,,,,,,
PMM0021,CAE18480.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,SynWH8103_00026,CRY90784.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,5.56709E-86,,,,,,,,,,
PMM0022,CAE18481.1,murC,Probable UDP-N-acetylmuramate-alanine ligase,SynWH8103_00027,CRY90785.1,murC,UDP-N-acetylmuramate-alanine ligase,3.33490E-111,,,,,,,,,,
PMM0023,CAE18482.1,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),SynWH8103_00029,CRY90787.1,gap2,glyceraldehyde-3-phosphate dehydrogenase,0.00000E+00,SynWH8103_00910,CRY91648.1,gap3,Glyceraldehyde-3-phosphate dehydrogenase,1.31461E-97,,,,,
PMM0024,CAE18483.1,thiL,putative thiamine-monophosphate kinase,SynWH8103_00030,CRY90788.1,thiL,thiamine-monophosphate kinase,1.20164E-85,,,,,,,,,,
PMM0025,CAE18484.1,None,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,SynWH8103_00031,CRY90789.1,None,cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein,4.30200E-139,SynWH8103_00778,CRY91517.1,None,cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein,4.95923E-17,,,,,
PMM0026,CAE18485.1,efp,Elongation factor P (EF-P),SynWH8103_00032,CRY90790.1,efp,translation elongation factor P,2.99516E-110,,,,,,,,,,
PMM0027,CAE18486.1,"accB,fabE",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,SynWH8103_00034,CRY90791.1,accB,"acetyl-CoA carboxylase, biotin carboxyl carrier rotein",2.69847E-55,,,,,,,,,,
PMM0028,CAE18487.1,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,SynWH8103_00033,CRY90792.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,1.28686E-99,,,,,,,,,,
PMM0029,CAE18488.1,None,conserved hypothetical protein,SynWH8103_00035,CRY90794.1,None,conserved hypothetical protein,1.10785E-101,,,,,,,,,,
PMM0031,CAE18490.1,None,HNH endonuclease:HNH nuclease,SynWH8103_00037,CRY90795.1,None,McrA/HNH family nuclease,1.26618E-69,,,,,,,,,,
PMM0032,CAE18491.1,None,possible Bacterial type II secretion system pr,SynWH8103_00040,CRY90798.1,None,putative bacterial type II secretion system protein,7.67737E-20,,,,,,,,,,
PMM0033,CAE18492.1,None,conserved hypothetical protein,SynWH8103_00041,CRY90799.1,None,membrane AbrB duplication domain protein,5.09162E-56,,,,,,,,,,
PMM0034,CAE18493.1,None,conserved hypothetical protein,SynWH8103_00043,CRY90801.1,None,conserved hypothetical protein,2.08970E-19,,,,,,,,,,
PMM0035,CAE18494.1,DHSS,soluble hydrogenase small subunit,SynWH8103_00046,CRY90803.1,None,soluble hydrogenase 42 kDa subunit,0.00000E+00,SynWH8103_01218,CRY91948.1,None,alanine--glyoxylate aminotransferase,2.69123E-56,,,,,
PMM0036,CAE18495.1,None,CbiD protein,SynWH8103_00047,CRY90804.1,cbiD,cobalamin biosynthesis protein CbiD,4.87360E-85,,,,,,,,,,
PMM0037,CAE18496.1,guaA,Glutamine amidotransferase class-I:GMP synthase,SynWH8103_00048,CRY90805.1,guaA,"GMP synthase (glutamine-hydrolyzing), N-terminaldomain",0.00000E+00,,,,,,,,,,
PMM0039,CAE18498.1,None,conserved hypothetical protein,SynWH8103_00049,CRY90806.1,None,Conserved hypotothetical protein,4.78422E-75,,,,,,,,,,
PMM0040,CAE18499.1,None,Putative penicillin-binding protein,SynWH8103_00051,CRY90808.1,mrdA,transpeptidase involved in septal peptidoglycan ynthesis (peptidoglycan synthetase precursor),0.00000E+00,SynWH8103_02014,CRY92732.1,ftsI,transpeptidase involved in septal peptidoglycan ynthesis (peptidoglycan synthetase precursor),4.89662E-15,SynWH8103_01910,CRY92629.1,mrcA,penicillin-binding-like protein 1A (PBP1A)(transpeptidase),4.28060E-12
PMM0041,CAE18500.1,None,possible reductase,SynWH8103_02728,CRY93407.1,None,NADPH-dependent FMN reductase family protein,5.95235E-64,,,,,,,,,,
PMM0042,CAE18501.1,None,flavoprotein,SynWH8103_02725,CRY93404.1,flv1,flavoprotein involved in Mehler reaction,0.00000E+00,SynWH8103_02724,CRY93403.1,flv3,flavoprotein involved in Mehler reaction,2.14103E-96,,,,,
PMM0043,CAE18502.1,None,flavoprotein,SynWH8103_02724,CRY93403.1,flv3,flavoprotein involved in Mehler reaction,0.00000E+00,SynWH8103_02725,CRY93404.1,flv1,flavoprotein involved in Mehler reaction,2.22531E-95,,,,,
PMM0044,CAE18503.1,alaS,Alanyl-tRNA synthetase,SynWH8103_02717,CRY93396.1,alaS,Alanyl-tRNA synthetase,0.00000E+00,,,,,,,,,,
PMM0045,CAE18504.1,None,Orn/DAP/Arg decarboxylases family 2,SynWH8103_02710,CRY93389.1,speA,Arginine decarboxylase,0.00000E+00,,,,,,,,,,
PMM0046,CAE18505.1,None,Nucleoside diphosphate kinase,SynWH8103_02709,CRY93388.1,ndk,nucleoside diphosphate kinase,2.67213E-85,,,,,,,,,,
PMM0047,CAE18506.1,thiO,PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE,SynWH8103_02706,CRY93384.1,None,FAD dependent oxidoreductase family protein,2.07337E-140,,,,,,,,,,
PMM0048,CAE18507.1,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B,SynWH8103_02704,CRY93383.1,gatB,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit",0.00000E+00,,,,,,,,,,
PMM0049,CAE18508.1,coaE,putative dephospho-CoA kinase,SynWH8103_02703,CRY93381.1,coaE,dephospho-CoA kinase,9.19775E-47,,,,,,,,,,
