[locus_tag=PMN2A_1357],[protein_id=PMN2A_1357],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1360],[protein_id=PMN2A_1360],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1366],[protein_id=PMN2A_1366],[gene=None],[protein=TPR repeat]
[locus_tag=PMN2A_1367],[protein_id=PMN2A_1367],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1368],[protein_id=PMN2A_1368],[gene=None],[protein=None]
[locus_tag=PMN2A_1372],[protein_id=PMN2A_1372],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1384],[protein_id=PMN2A_1384],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1385],[protein_id=PMN2A_1385],[gene=None],[protein=None]
[locus_tag=PMN2A_1897],[protein_id=PMN2A_1897],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1387],[protein_id=PMN2A_1387],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1388],[protein_id=PMN2A_1388],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1389],[protein_id=PMN2A_1389],[gene=None],[protein=C-type lectin]
[locus_tag=PMN2A_1898],[protein_id=PMN2A_1898],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1391],[protein_id=PMN2A_1391],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1393],[protein_id=PMN2A_1393],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1899],[protein_id=PMN2A_1899],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1900],[protein_id=PMN2A_1900],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1901],[protein_id=PMN2A_1901],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1902],[protein_id=PMN2A_1902],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1394],[protein_id=PMN2A_1394],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1395],[protein_id=PMN2A_1395],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1396],[protein_id=PMN2A_1396],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1903],[protein_id=PMN2A_1903],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1397],[protein_id=PMN2A_1397],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1400],[protein_id=PMN2A_1400],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1403],[protein_id=PMN2A_1403],[gene=None],[protein=None]
[locus_tag=PMN2A_1405],[protein_id=PMN2A_1405],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1406],[protein_id=PMN2A_1406],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1407],[protein_id=PMN2A_1407],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1412],[protein_id=PMN2A_1412],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1904],[protein_id=PMN2A_1904],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1905],[protein_id=PMN2A_1905],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMN2A_1906],[protein_id=PMN2A_1906],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMN2A_1425],[protein_id=PMN2A_1425],[gene=None],[protein=photosystem II protein X PsbX]
[locus_tag=PMN2A_1907],[protein_id=PMN2A_1907],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMN2A_1450],[protein_id=PMN2A_1450],[gene=None],"[protein=conserved hypothetical protein, transport associated]"
