Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1328,AAZ58817.1,None,"DNA polymerase III, beta subunit",SynWH8103_00001,CRY90759.1,dnaN,"DNA polymerase III, beta subunit",6.90676E-169,,,,,,,,,,
PMN2A_1329,AAZ58818.1,None,RNA metabolism-related protein,SynWH8103_00002,CRY90760.1,None,conserved hypothetical protein,2.78527E-73,,,,,,,,,,
PMN2A_1330,AAZ58819.1,None,phosphoribosylformylglycinamidine synthase subunit II,SynWH8103_00003,CRY90761.1,purL,"phosphoribosylformylglycinamidine synthase, synthetase domain",0.00000E+00,,,,,,,,,,
PMN2A_1331,AAZ58820.1,None,amidophosphoribosyltransferase,SynWH8103_00005,CRY90762.1,purF,amidophosphoribosyltransferase,2.86241E-82,,,,,,,,,,
PMN2A_1332,AAZ58821.1,None,DNA topoisomerase IV subunit A,SynWH8103_00004,CRY90763.1,None,"DNA gyrase/topoisomerase IV, subunit A family protein",0.00000E+00,SynWH8103_00828,CRY91568.1,gyrA,DNA gyrase subunit A,0.00000E+00,,,,,
PMN2A_1333,AAZ58822.1,None,TPR repeat,SynWH8103_00006,CRY90764.1,None,tetratricopeptide repeat family protein,6.32211E-66,,,,,,,,,,
PMN2A_1334,AAZ58823.1,None,conserved hypothetical protein,SynWH8103_00007,CRY90765.1,queG,epoxyqueuosine reductase,1.17519E-144,,,,,,,,,,
PMN2A_1335,AAZ58824.1,None,uncharacterized conserved membrane protein,SynWH8103_00009,CRY90767.1,None,uncharacterized membrane protein (DUF502),4.32557E-148,,,,,,,,,,
PMN2A_1336,AAZ58825.1,None,antitermination protein NusB,SynWH8103_00010,CRY90768.1,nusB,transcription antitermination protein NusB,1.87103E-77,,,,,,,,,,
PMN2A_1337,AAZ58826.1,None,signal recognition particle-docking protein FtsY,SynWH8103_00011,CRY90769.1,ftsY,signal recognition particle-docking protein FtsY,0.00000E+00,SynWH8103_01845,CRY92570.1,ffh,signal recognition particle protein,1.44732E-39,,,,,
PMN2A_1338,AAZ58827.1,None,serine phosphatase,SynWH8103_00012,CRY90770.1,rsbU,"serine phosphatase RsbU, sigma subunit regulator",0.00000E+00,,,,,,,,,,
PMN2A_1339,AAZ58828.1,None,argininosuccinate lyase,SynWH8103_00013,CRY90771.1,argH,argininosuccinate lyase,0.00000E+00,,,,,,,,,,
PMN2A_1340,AAZ58829.1,None,RNA-binding region RNP-1 (RNA recognition motif),SynWH8103_00014,CRY90772.1,None,RNA-binding domain RNP-1 (RNA recognition motif)containing protein,7.57754E-51,SynWH8103_01055,CRY91789.1,None,"RNA-binding protein, RRM domain",6.28932E-32,SynWH8103_01526,CRY92253.1,None,"RNA-binding protein, RRM domain",9.98432E-32
PMN2A_1341,AAZ58830.1,None,"tRNA-U16,U17-dihydrouridine synthase",SynWH8103_00015,CRY90773.1,None,dihydrouridine synthase family protein,4.23071E-146,SynWH8103_00753,CRY91492.1,None,"TIM-barrel, nifR3 family protein",4.24917E-23,,,,,
PMN2A_1342,AAZ58831.1,None,methionine sulfoxide reductase B,SynWH8103_00016,CRY90774.1,msrB,methionine-R-sulfoxide reductase,1.23567E-71,SynWH8103_00372,CRY91117.1,msrB,peptide methionine sulfoxide reductase MsrB,6.72436E-34,,,,,
PMN2A_1343,AAZ58832.1,None,"molecular chaperone GrpE, heat shock protein",SynWH8103_00021,CRY90779.1,grpE,Chaperone protein GrpE,5.06034E-93,,,,,,,,,,
