Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1328,AAZ58817.1,None,"DNA polymerase III, beta subunit",Syncc8109_0001,AHF62427.1,dnaN,"DNA polymerase III, beta subunit",4.39753E-154,,,,,,,,,,
PMN2A_1329,AAZ58818.1,None,RNA metabolism-related protein,Syncc8109_0003,AHF62429.1,None,hypothetical protein,3.41601E-65,,,,,,,,,,
PMN2A_1330,AAZ58819.1,None,phosphoribosylformylglycinamidine synthase subunit II,Syncc8109_0004,AHF62430.1,purL,phosphoribosylformylglycinamidine synthase II,0.00000E+00,,,,,,,,,,
PMN2A_1331,AAZ58820.1,None,amidophosphoribosyltransferase,Syncc8109_0005,AHF62431.1,purF,amidophosphoribosyltransferase,0.00000E+00,Syncc8109_0151,AHF62571.1,glmS,"glucosamine--fructose-6-phosphate aminotransferase, isomerizing",2.01027E-16,,,,,
PMN2A_1332,AAZ58821.1,None,DNA topoisomerase IV subunit A,Syncc8109_0006,AHF62432.1,None,"DNA gyrase/topoisomerase IV, subunit A",0.00000E+00,Syncc8109_2037,AHF64378.1,gyrA,"DNA gyrase, A subunit",0.00000E+00,,,,,
PMN2A_1333,AAZ58822.1,None,TPR repeat,Syncc8109_0007,AHF62433.1,None,hypothetical protein,9.68796E-57,,,,,,,,,,
PMN2A_1334,AAZ58823.1,None,conserved hypothetical protein,Syncc8109_0008,AHF62434.1,None,4Fe-4S cluster binding protein,2.99567E-146,,,,,,,,,,
PMN2A_1335,AAZ58824.1,None,uncharacterized conserved membrane protein,Syncc8109_0010,AHF62436.1,None,hypothetical protein,7.12917E-148,,,,,,,,,,
PMN2A_1336,AAZ58825.1,None,antitermination protein NusB,Syncc8109_0011,AHF62437.1,None,NusB family protein,1.40144E-64,,,,,,,,,,
PMN2A_1337,AAZ58826.1,None,signal recognition particle-docking protein FtsY,Syncc8109_0012,AHF62438.1,ftsY,signal recognition particle-docking protein FtsY,1.60365E-180,Syncc8109_1847,AHF64199.1,ffh,signal recognition particle protein,1.50601E-38,,,,,
PMN2A_1338,AAZ58827.1,None,serine phosphatase,Syncc8109_0013,AHF62439.1,None,serine phosphatase,0.00000E+00,,,,,,,,,,
PMN2A_1339,AAZ58828.1,None,argininosuccinate lyase,Syncc8109_0014,AHF62440.1,argH,argininosuccinate lyase,0.00000E+00,Syncc8109_2289,AHF64615.1,purB,adenylosuccinate lyase,5.09056E-12,,,,,
PMN2A_1340,AAZ58829.1,None,RNA-binding region RNP-1 (RNA recognition motif),Syncc8109_0015,AHF62441.1,None,RNA-binding region RNP-1 (RNA recognition motif),6.27973E-49,Syncc8109_1142,AHF63513.1,None,RNA-binding protein,3.64683E-32,Syncc8109_0982,AHF63356.1,rbpD,RNA-binding region RNP-1 (RNA recognition motif),8.54975E-32
PMN2A_1341,AAZ58830.1,None,"tRNA-U16,U17-dihydrouridine synthase",Syncc8109_0016,AHF62442.1,None,uncharacterized protein family UPF0034,7.42465E-161,Syncc8109_2124,AHF64461.1,None,Dihydrouridine synthase TIM-barrel protein nifR3,1.55657E-21,,,,,
PMN2A_1342,AAZ58831.1,None,methionine sulfoxide reductase B,Syncc8109_0017,AHF62443.1,None,Methionine sulfoxide reductase B,3.98490E-69,Syncc8109_2343,AHF64664.1,None,Methionine sulfoxide reductase B,1.88083E-36,,,,,
PMN2A_1343,AAZ58832.1,None,"molecular chaperone GrpE, heat shock protein",Syncc8109_0022,AHF62448.1,grpE,putative heat shock protein GrpE,4.34818E-93,,,,,,,,,,
PMN2A_1344,AAZ58833.1,None,Heat shock protein DnaJ,Syncc8109_0023,AHF62449.1,dnaJ,Heat shock protein DnaJ,0.00000E+00,Syncc8109_1269,AHF63636.1,dnaJ2,Heat shock protein DnaJ-like protein,7.75830E-23,Syncc8109_0558,AHF62945.1,dnaJ3,Heat shock protein DnaJ-like protein,7.22610E-22
PMN2A_1345,AAZ58834.1,None,conserved hypothetical protein,Syncc8109_0024,AHF62450.1,None,hypothetical protein,5.76345E-16,,,,,,,,,,
PMN2A_1346,AAZ58835.1,None,GTPase EngC,Syncc8109_0025,AHF62451.1,None,GTPase EngC,6.67038E-91,,,,,,,,,,
PMN2A_1347,AAZ58836.1,None,Conserved hypothetical protein 103,Syncc8109_0026,AHF62452.1,None,hypothetical protein,8.06024E-56,,,,,,,,,,
PMN2A_1348,AAZ58837.1,None,UDP-N-acetylmuramate dehydrogenase,Syncc8109_0027,AHF62453.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,3.48186E-115,,,,,,,,,,
PMN2A_1349,AAZ58838.1,None,UDP-N-acetylmuramate--L-alanine ligase,Syncc8109_0028,AHF62454.1,murC,UDP-N-acetylmuramate--alanine ligase,8.86713E-144,,,,,,,,,,
PMN2A_1350,AAZ58839.1,None,glyceraldehyde 3-phosphate dehydrogenase (NADP+),Syncc8109_0030,AHF62456.1,gap2,"glyceraldehyde-3-phosphate dehydrogenase, type I",0.00000E+00,Syncc8109_0834,AHF63212.1,gap3,"glyceraldehyde-3-phosphate dehydrogenase, type I",5.24713E-94,,,,,
PMN2A_1351,AAZ58840.1,None,thiamine-phosphate kinase,Syncc8109_0031,AHF62457.1,thiL,thiamine-monophosphate kinase,2.20533E-99,,,,,,,,,,
PMN2A_1352,AAZ58841.1,None,peptidyl-prolyl cis-trans isomerase,Syncc8109_0032,AHF62458.1,None,putative cyclophilin-type peptidyl-prolyl cis-trans isomerase,2.13746E-141,Syncc8109_2093,AHF64431.1,None,"putative peptidyl-prolyl cis-trans isomerase, cyclophilin type",2.44244E-18,,,,,
PMN2A_1353,AAZ58842.1,None,translation elongation factor P (EF-P),Syncc8109_0033,AHF62459.1,efp,translation elongation factor P,6.19245E-127,,,,,,,,,,
PMN2A_1354,AAZ58843.1,None,biotin carboxyl carrier protein,Syncc8109_0034,AHF62460.1,accB,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",1.19014E-66,,,,,,,,,,
PMN2A_1355,AAZ58844.1,None,4-hydroxythreonine-4-phosphate dehydrogenase,Syncc8109_0035,AHF62461.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,2.16370E-131,,,,,,,,,,
PMN2A_1356,AAZ58845.1,None,NAD dependent epimerase/dehydratase,Syncc8109_0037,AHF62463.1,None,hypothetical protein,4.02274E-108,Syncc8109_2715,AHF65021.1,None,hypothetical protein,3.18383E-12,,,,,
PMN2A_1358,AAZ58847.1,None,HNH nuclease,Syncc8109_0039,AHF62465.1,mcrA,HNH nuclease,5.03486E-28,Syncc8109_0350,AHF62757.1,None,HNH nuclease,7.53240E-11,,,,,
PMN2A_1359,AAZ58848.1,None,conserved hypothetical protein,Syncc8109_0043,AHF62469.1,None,hypothetical protein,2.38539E-28,,,,,,,,,,
PMN2A_1361,AAZ58850.1,None,serine-pyruvate/aspartate aminotransferase related enzyme,Syncc8109_0050,AHF62475.1,DHSS,soluble hydrogenase small subunit,0.00000E+00,Syncc8109_1473,AHF63835.1,spt,serine:pyruvate/alanine:glyoxylate aminotransferase,4.05937E-57,,,,,
PMN2A_1362,AAZ58851.1,None,cobalamin (vitamin B12) biosynthesis CbiD protein,Syncc8109_0051,AHF62476.1,cbiD,cobalamin biosynthesis protein CbiD,2.93395E-106,,,,,,,,,,
PMN2A_1363,AAZ58852.1,None,GMP synthase (glutamine-hydrolyzing),Syncc8109_0052,AHF62477.1,guaA,GMP synthase,0.00000E+00,,,,,,,,,,
PMN2A_1364,AAZ58853.1,None,SAM (and some other nucleotide) binding motif:TPR repeat,Syncc8109_2276,AHF64602.1,None,hypothetical protein,3.30995E-17,,,,,,,,,,
PMN2A_1366,AAZ58854.1,None,TPR repeat,Syncc8109_2059,AHF64400.1,None,hypothetical protein,1.68019E-12,Syncc8109_2059,AHF64400.1,None,hypothetical protein,8.28347E-11,,,,,
PMN2A_1368,AAZ58856.1,None,kef-type K+ transport system predicted NAD-binding component,Syncc8109_0155,AHF62575.1,None,"putative potassium channel, VIC family",1.37504E-19,,,,,,,,,,
PMN2A_1369,AAZ58857.1,None,conserved hypothetical protein,Syncc8109_0493,AHF62893.1,None,hypothetical protein,9.69944E-31,Syncc8109_1112,AHF63483.1,None,hypothetical protein,1.80991E-21,,,,,
PMN2A_1371,AAZ58859.1,None,membrane protein,Syncc8109_0053,AHF62478.1,None,hypothetical protein,1.30297E-87,,,,,,,,,,
PMN2A_1372,AAZ58860.1,None,conserved hypothetical protein,Syncc8109_0054,AHF62479.1,None,hypothetical protein,1.27276E-14,,,,,,,,,,
