[locus_tag=WB44_00005],[protein_id=AKN59773.1],[gene=None],[protein=sulfate transporter],[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=2.49755E-125],[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=2.01628E-23]
[locus_tag=WB44_00010],[protein_id=AKN59774.1],[gene=None],[protein=formamidopyrimidine-DNA glycosylase],[locus_tag=PMM0328],[protein_id=CAE18787.1],[gene=FPG],[protein=Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)],[evalue=3.96803E-115]
[locus_tag=WB44_00015],[protein_id=AKN62016.1],[gene=None],[protein=photosystem I reaction center subunit IV],[locus_tag=PMM0329],[protein_id=CAE18788.1],[gene=psaE],[protein=Photosystem I PsaE protein (subunit IV)],[evalue=1.02850E-37]
[locus_tag=WB44_00025],[protein_id=AKN59776.1],[gene=None],[protein=helicase],[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[evalue=9.79113E-12]
[locus_tag=WB44_00030],[protein_id=AKN59777.1],[gene=None],[protein=peptigoglycan-binding protein LysM],[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain],[evalue=6.20840E-21],[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain],[evalue=1.03924E-13]
[locus_tag=WB44_00035],[protein_id=AKN59778.1],[gene=None],[protein=aldehyde dehydrogenase],[locus_tag=PMM0331],[protein_id=CAE18790.1],[gene=None],[protein=Putative aldehyde dehydrogenase],[evalue=1.58304E-135]
[locus_tag=WB44_00040],[protein_id=AKN59779.1],[gene=None],[protein=trehalose synthase],[locus_tag=PMM0961],[protein_id=CAE19420.1],[gene=None],[protein=Glycoside hydrolase family 13],[evalue=5.36712E-17],[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase],[evalue=2.52600E-08]
[locus_tag=WB44_00075],[protein_id=AKN59782.1],[gene=None],[protein=3-dehydroquinate dehydratase],[locus_tag=PMM0387],[protein_id=CAE18846.1],[gene=aroD],[protein=Dehydroquinase class II],[evalue=5.13298E-62]
[locus_tag=WB44_00080],[protein_id=AKN59783.1],[gene=None],[protein=hydroxylase],[locus_tag=PMM0388],[protein_id=CAE18847.1],[gene=None],[protein=putative similar to tRNA-(MS[2],[evalue=3.86499E-70]
[locus_tag=WB44_00110],[protein_id=AKN59789.1],[gene=None],[protein=LuxR family transcriptional regulator],[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=3.79439E-09]
[locus_tag=WB44_00125],[protein_id=AKN62019.1],[gene=None],[protein=precorrin-2 C20-methyltransferase],[locus_tag=PMM0389],[protein_id=CAE18848.1],[gene=cobI/cbiL],[protein=PRECORRIN-2 C20-METHYLTRANSFERASE],[evalue=1.75532E-44],[locus_tag=PMM0459],[protein_id=CAE18918.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE],[evalue=5.20228E-09],[locus_tag=PMM1694],[protein_id=CAE20153.1],[gene=cobA],[protein=putative uroporphyrin-III C-methyltransferase],[evalue=2.87430E-06]
